Аффикс,Описание
-aj,сущ > сущ увеличительный суфикс с оттенком пренебрежения
-aq,п1 отрицания I переходного глагола в небудущем времени
-al,"сущ > сущ коллективный суффикс, общее число"
-ala,"гл > гл уменьшительный, означающий «немного»"
-aɬ,гл будущее время
-aɬ,гл > гл дезидератив
-anke,"вар. -ke с. -enk, с. -enkoŋ сущ направительно-дательный падеж, ед. ч."
-anɬ,сущ > сущ пейоратив
-at,"гл > гл хабитуалис, означающий прывычное действие"
-ata,гл > гл директивный
-aʔnke,"сущ направительно-дательный падеж, мн. ч."
-z,гл настоящее время (-с перед глухими согласными)
-zo,"вар. -čo гл > гл дуратив, указывающий на длительность"
-in,"гл объект 2-го лица, ед. ч."
-in,"сущ > прил позессив (притяжательный), ед. ч."
-k,"субъект 1-го лица, ед. ч. (см. -kičen)"
-kaq,неп отрицание непереходного и II переходного глагола в
-kan (mn. -kaʔn),гл отрицание для III инфинитива ед. ч. (см. -kin)
-kan (mn. -kaʔn),"сущ отрицание ед. ч., без ... (см. -kin)"
-kas,вар. с. -kes неп > инф I инфинитив для непереходного глагола
-kas,вар. с. -kes п2 > инф I инфинитив для II переходного глагола
-kaʔn,"сущ отрицание ед. ч., без ... (см. -kan)"
-kaʔn,гл отрицание для III инфинитива мн. ч. (см. -kan)
-ki,неп > инф V инфинитив для непереходного глагола
-ki,п2 > инф V инфинитив для II переходного глагола
-kilat,"гл II инфинитив мн. ч., означающий агентивное действие"
-kiɬχ,"вар. с. -kiɬ гл II инфинитив ед. ч., означающий агентивное действие"
-kin (mn. -kiʔn),"вар. -kan гл отрицание для III инфинитива, ед. ч."
-kin (mn. -kiʔn),"вар. -kan сущ отрицание ед. ч., без ..."
-kinkin (mn. -kinkiʔn),вар. -kenkan гл отрицание для III инфинитива
-kinkiʔn,гл отрицание для III инфинитива мн. ч. (см. -kinkin)
-kinen (mn. -kineʔn),"1) неп 3-е лицо ед. ч. косвенного падежа, субъект в
ед. ч. 2) п2 3-е лицо ед. ч. косвенного падежа, субъект в ед. ч."
-kineʔn, "1) неп 3-е лицо ед. ч. косвенного подежа, субъект в мн. ч.   
 2) п2 3-е лицо ед. ч. косвенного подежа, субъект в мн. ч. (см. -kinen)"
-kipnen (mn. -kipneʔn),"неп 3-е лицо мн. ч. косвенного падежа, субъект"
-kipneʔn,"неп 3-е лицо мн. ч. косвенного падежа, субъект в мн. ч."
-kisxen,1) п2 объект 2-го лица мн. ч. 2) неп 2-е лицо мн. ч. косвенного падежа, субъект в ед. ч."
-kisxeʔn,"неп 2-е лицо мн. ч. косвенного падежа, субъект в мн. ч."
-kit,вар. -ket сущ каузально-повествовательный падеж
-kičen,"вар. -kečan, -k неп субъект 1-го лица"
-kičen,"вар. -kečan п2 субъект 1-го лица, объект 3-го лица ед. ч."
-kičeʔn,"вар. -kečaʔn п2 субъект 1-го лица, объекта 3-го лица мн. ч."
-kičeʔn,"вар. -k неп субъект 1-го лица, объект 3-го лица мн. ч."
-kiʔn,"вар. -kaʔn сущ отрицание, мн. ч., без ... (см. -kin)"
-knin,с. гл IV инфинитив (см. -knen)
-knen,вар. с. -knin гл IV инфинитив
-ke,сущ направительно-дательный падеж (см. -anke)
-kenkan (mn. -kenkaʔn),гл отрицание для III инфинитива ед. ч.
