Ительменское слово,Русское слово
sinex союз,а
xajʔe межд,а ну-ка
Сuaču-aj собств,Авача
Сuaču собств,Авача
Сuaču-aj собств,авачинский житель
ɬalxtera сущ,автомобиль
weʔenna сущ,ад
fitwit сущ,акиба
fičsk'e сущ,акиба
fittaj сущ,акибы детеныш
akkuratnoj прил,аккуратный
aktiwnoj прил,активный
sasq сущ,алык
kaŋɬnom сущ,амбар
kənkleʔin инф,апостол
aptekaʔ сущ,аптека
qeruqer сущ,ара
arkan сущ,аркан
čaʔwat сущ,аркан для ловли оленей
k'lut'ɬχewal сущ,армия
tjotjəm сущ,артерия
totk's сущ,аттол
lukel- неп,аукаться
wewweŋ сущ,бабочка
wewečχ сущ,бабочка
sepetokačx сущ с. ,бабочка
sepetok сущ с. ,бабочка
babučχ сущ,бабушка
babuʂkačχ сущ,бабушка
mitχ сущ,бабушка
Ӄaratwak собств,Бабушкин мыс
bajdar сущ,байдара
bak сущ,бак (для воды)
urəl сущ,баклан
mek'ɬxən сущ,балаган
mem сущ,балаган
ananəmč сущ,балка
ananəmč сущ,балка опора для крыши
inɬiluʔɬ- неп,баловаться
saʎeʔɬ- неп,баловаться
bankaʔ сущ,банка
kbarabaneʔɬʔan сущ,барабанщик
qtep сущ,баран горный
warnasχq сущ,барахло
tqŋač сущ,бат
txtum сущ,бат
tχtupes- неп,бат привязывать
ənxiʔŋiŋ- п1,бат ремонтировать
tk'ŋoč сущ,бата оконечность
wənke iɬ- п1,баюкать
skʎawʎat- неп с. ,бегать
sxilla- неп,бегать
sxillazo- неп,бегать
petnoj прил,бедный
xksxiʔin прил,бедный
xč'enmiŋ сущ,бедро
telp- неп,бежать
qaʔm част,без
č'ixilereŋ сущ,бездельник
iɲč'et- неп,бездельничать
propast сущ,бездна
ɬapxač'e- неп,безобразничать
qaʔm ŋitakaʔn с.,безсердичные
kilx сущ,белая береза
č'iraqt'əl сущ,белая ровдуга
atx- неп,белеть
atxɬ- неп,белеть
