Ительменское слово,Русское слово,Часть речи
sinэx,а,союз
xajʔэ,а ну-ка,межд
Сuaču-aj,Авача,собств
Сuaču,Авача,собств
Сuaču-aj,авачинский житель,собств
ɬalxtэra,автомобиль,сущ
wэʔэnna,ад,сущ
fitwit,акиба,сущ
fičsk'э,акиба,сущ
fittaj,акибы детеныш,сущ
akkuratnoj,аккуратный,прил
aktiwnoj,активный,прил
sasq,алык,сущ
kaŋɬnom,амбар,сущ
kənklэʔin,апостол,инф
aptэkaʔ,аптека,сущ
qэruqэr,ара,сущ
arkan,аркан,сущ
čaʔwat,аркан для ловли оленей,сущ
k'lut'ɬχэwal,армия,сущ
tjotjəm,артерия,сущ
totk's,аттол,сущ
lukэl-,аукаться,неп
wэwwэŋ,бабочка,сущ
wэwэčχ,бабочка,сущ
sэpэtokačx сущ с.,бабочка,
sэpэtok сущ с.,бабочка,
бaбučχ,бабушка,сущ
бaбuшkačχ,бабушка,сущ
mitχ,бабушка,сущ
Ӄaratwak,Бабушкин мыс,собств
бajdar,байдара,сущ
бak,бак (для воды),сущ
urəl,баклан,сущ
mэk'ɬxən,балаган,сущ
mэm,балаган,сущ
ananəmč,балка,сущ
ananəmč,балка опора для крыши,сущ
inɬiluʔɬ-,баловаться,неп
saʎэʔɬ-,баловаться,неп
бankaʔ,банка,сущ
kбaraбanэʔɬʔan,барабанщик,сущ
qtэp,баран горный,сущ
warnasχq,барахло,сущ
tqŋač,бат,сущ
txtum,бат,сущ
tχtupэs-,бат привязывать,неп
ənxiʔŋiŋ-,бат ремонтировать,п1
tk'ŋoč,бата оконечность,сущ
wənkэ iɬ-,баюкать,п1
skʎawʎat- неп с.,бегать,
sxilla-,бегать,неп
sxillazo-,бегать,неп
pэtnoj,бедный,прил
xksxiʔin,бедный,прил
xč'эnmiŋ,бедро,сущ
tэlp-,бежать,неп
qaʔm,без,част
č'ixilэrэŋ,бездельник,сущ
iɲč'эt-,бездельничать,неп
propast,бездна,сущ
ɬapxač'э-,безобразничать,неп
qaʔm ŋitakaʔn,безсердичные,с.
kilx,белая береза,сущ
č'iraqt'əl,белая ровдуга,сущ
atx-,белеть,неп
atxɬ-,белеть,неп
iɬwirču-,белеть,неп
бэʎi-,белить,п1
бэʎiʔɬ-,белить,неп
бэlkaʔ,белка,сущ
Мiɬχ,Белоголовое,собств
ttэxč,белолицый,сущ
atxlaχ,белый,прил
kakf,бельмо на глазу,сущ
iʔiɬun сущ с.,берег,
ʷknizim,берег,сущ
эʔlэ,берег,сущ
t'lэ-,берег обваливается,неп
iʔɲɬəm,"берег плоский, берег высокий",сущ
toɬwoŋ,береговой запор,сущ
kŋitэʔin,бережливый,прил
ič',береза,сущ
kəlx сущ с.,береза,
kilx,береза белая,сущ
ič'al,березняк,сущ
kilxal,березняк,сущ
uxt,березняк,сущ
бilet,билет,сущ
kəʎʎaʔɲč,бисер,сущ
lot'ɬxэnom,битва,сущ
tnxэn-,битком набивать,п1
txnot-,битком набивать,п1
tχnu-,битком набивать,п1
kowa-,бить,п1
nэtɬqэʔɬ-,бить,неп
juq',бить,сущ
k'uxk',пищу,сущ
ič'ʔin,березовый,прил
uxt,березовый лес,сущ
čkəp,березовый нарост,сущ
ič'əmč,березовый подлесок,сущ
iʔmэməm,березовый сок,сущ
ič'al,берёзы,сущ
kilxal,березы заросли,сущ
iwk',березы луб,сущ
fɬ-,беременной быть,неп
ənk'sx,береста,сущ
ač'al,берестяная корзина,сущ
akinsx,четырехугольный,сущ
krэnkэjoɬxən,берестяной туес для молока,сущ
sxzэmx,гольной формы,сущ
ŋiti-,беречь,п1
inju-,беречься,неп
noč,берлога,сущ
χэqэ,бес,сущ
krwэɬxatas,беседа,сущ
krwэɬxэt-,беседовать,неп
d'эkowaʔɬ-,беситься,неп
inmisin-,беспокоить,неп
krurэw-,беспокоиться,неп
kəʔŋɬ-,беспокоиться,п1
nitasxэn-,беспокоиться,неп
čiŋuqэlaχ,беспорядочный,прил
ɬapxač'эraŋ,беспутный,сущ
aŋojk'a,бесхвостый,сущ
бiбliotэka,библиотека,сущ
бiбliotэkar сущ tala-,библиотекарь,п1
talazo-,библиотекарь,п1
talat-,библиотекарь,п1
tpəlzo-,библиотекарь,п1
tpəll-,библиотекарь,п1
txɬ-,библиотекарь,п1
uzilэt-,библиотекарь,п1
эnatala- неп с.,библиотекарь,
jajarčo-,бить в бубен,неп
xuxula-,бить за непослушание,п1
fizwaɬčэ-,бить прутом,неп
txɬzo-,бить сильно,п1
nэtɬqэʔɬ-,битьем,неп
qэč'эɬэ-,благодарить,п1
qэč'эɬэʔɬ-,благодарить,п1
qэč'эɬnom,благодарность,сущ
mэlmэl,благодать,сущ
k'alwaʼan,благославленный,прил
k'alwaʔan,благославленный,прил
aŋja-,благославлять,п1
əmtx-,бледнеть,неп
atxlaχ,бледный,прил
эɬwэrčom,блеск,сущ
atxk'za-,блестеть,неп
ilэmzaq'ɬ-,блестеть,неп
iɬwirču-,блестеть,неп
k'эɬwэrčoʔan,блестящий,прил
tmalkэ,ближе,нареч
tmalʔan,ближний,прил
tmallaχ,близкий,прил
tmalʔan,близкий,прил
tmalk,близко,нареч
