Русское слово,Ительменское слово
а,sinex союз
а ну-ка,xajʔe межд
Авача,Сuaču-aj собств; Сuaču собств
авачинский житель,Сuaču-aj собств
автомобиль,ɬalxtera сущ
ад,weʔenna сущ
акиба,fitwit сущ; fičsk'e сущ
акибы детеныш,fittaj сущ
аккуратный,akkuratnoj прил
активный,aktiwnoj прил
алык,sasq сущ
амбар,kaŋɬnom сущ
апостол,kənkleʔin инф
аптека,aptekaʔ сущ
ара,qeruqer сущ
аркан,arkan сущ
аркан для ловли оленей,čaʔwat сущ
армия,k'lut'ɬχewal сущ
артерия,tjotjəm сущ
аттол,totk's сущ
аукаться,lukel- неп
бабочка,wewweŋ сущ; wewečχ сущ; sepetokačx сущ с.; sepetok сущ с.
бабушка,babučχ сущ; babuʂkačχ сущ; mitχ сущ
Бабушкин мыс,Ӄaratwak собств
байдара,bajdar сущ
бак (для воды),bak сущ
баклан,urəl сущ
балаган,mek'ɬxən сущ; mem сущ
балка,ananəmč сущ
балка опора для крыши,ananəmč сущ
баловаться,inɬiluʔɬ- неп; saʎeʔɬ- неп
банка,bankaʔ сущ
барабанщик,kbarabaneʔɬʔan сущ
баран горный,qtep сущ
барахло,warnasχq сущ
бат,tqŋač сущ; txtum сущ
бат привязывать,tχtupes- неп
бат ремонтировать,ənxiʔŋiŋ- п1
бата оконечность,tk'ŋoč сущ
баюкать,wənke iɬ- п1
бегать,skʎawʎat- неп с.; sxilla- неп; sxillazo- неп
бедный,petnoj прил; xksxiʔin прил
бедро,xč'enmiŋ сущ
бежать,telp- неп
без,qaʔm част
бездельник,č'ixilereŋ сущ
бездельничать,iɲč'et- неп
бездна,propast сущ
безобразничать,ɬapxač'e- неп
безсердичные,qaʔm ŋitakaʔn с.
белая береза,kilx сущ
белая ровдуга,č'iraqt'əl сущ
белеть,atx- неп; atxɬ- неп; iɬwirču- неп
белить,beʎi- п1; beʎiʔɬ- неп
белка,belkaʔ сущ
Белоголовое,Мiɬχ собств
белолицый,ttexč сущ
белый,atxlaχ прил
бельмо на глазу,kakf сущ
берег,iʔiɬun сущ с.; ʷknizim сущ; eʔle сущ
берег обваливается,t'le- неп
"берег плоский, берег высокий",iʔɲɬəm сущ
береговой запор,toɬwoŋ сущ
бережливый,kŋiteʔin прил
береза,ič' сущ; kəlx сущ с.
береза белая,kilx сущ
березняк,ič'al сущ; kilxal сущ; uxt сущ
билет,bilеt сущ
бисер,kəʎʎaʔɲč сущ
битва,lot'ɬxenom сущ
битком набивать,tnxen- п1; txnot- п1; tχnu- п1
бить,"kowa- п1; netɬqeʔɬ- неп; tala- п1; talazo- п1; talat- п1; 
tpәlzo- п1; tpәll- п1; tхɬ- п1; 
uzilet- п1; enatala- неп"
березовая кора идущая в пищу,juq' сущ
березовая мягкая кора шедшая в пищу,k'uxk' сущ
березовый,ič'ʔin прил
березовый лес,uxt сущ
березовый нарост,čkəp сущ
березовый подлесок,ič'əmč сущ
