Русское слово,Ительменское слово,Часть речи
а,синэх,союз
а ну-ка,хайʔэ,межд
автомобиль,ԓалхтэра,сущ
ад,вэʔэнна,сущ
акиба фитвит сущ;,фичскʼэ,сущ
алык,сасӄ,сущ
амбар,каӈԓном,сущ
аминь,лыԓи,
апостол,кәнклэʔин,инф
аптека,аптэкаʔ,сущ
ара,ӄэруӄэр,сущ
аркан для ловли оленей,чаʔват,сущ
армия,кʼлутʼԓӽэвал,сущ
артерия,тйотйәм,сущ
аттол,тоткʼс,сущ
аукаться,лукэл-,неп
бабочка сущ; сущ; с.;,вэввэӈ; вэвэчӽ; сэпэтокачх; сэпэток,"сущ, сущ"
бабушка сущ;,бабучӽ; бабушкачӽ,
сущ;,митӽ,сущ
Бабушкин мыс,Ӄаратвак,собств
баклан,урәл,сущ
балаган сущ; мэм,мэкʼԓхән,
балка,ананәмч,сущ
балка опора для крыши,ананәмч,сущ
баловаться неп;,инԓилуʔԓ-; саљэʔԓ-,неп
банка,банкаʔ,сущ
барабанщик,кбарабанэʔԓʔан,сущ
баран горный,ӄтэп,сущ
барахло,варнасӽӄ,сущ
бат сущ; тхтум,тӄӈач,
бат привязывать,тӽтупэс-,неп
бат ремонтировать,әнхиʔӈиӈ-,п1
бата оконечность,ткʼӈоч,сущ
баюкать,вәнкэ; иԓ-,п1
бегать с.; схилла-,скљављат-,неп
бедный прил;,пэтной; хксхиʔин,прил
бедро,хчʼэнмиӈ,сущ
бежать,тэлп-,неп
без част,ӄаʔм,
бездельник,чʼихилэрэӈ,сущ
бездельничать,ињчʼэт-,неп
безобразничать,ԓапхачʼэ-,неп
безсердичные,ӄаʔм; ӈитакаʔн,
белая ровдуга,чʼираӄтʼәл,сущ
белеть атх- неп; неп;,атхԓ-; иԓвирчу-,неп
белить п1;,бэљи-; бэљиʔԓ-,неп
белка,бэлкаʔ,сущ
Белоголовое,Миԓӽ,собств
белолицый,ттэхч,сущ
белый,атхлаӽ,прил
берег с.; сущ;,иʔиԓун; ˚кнызим; эʔлэ,"сущ, сущ"
берег обваливается,тʼлэ-,неп
"берег плоский, берег высокий",иʔњԓәм,сущ
береговой запор,тоԓвоӈ,сущ
бережливый,кӈитэʔин,прил
береза сущ;,ичʼ; кәлх,сущ
березняк сущ; килхал сущ;,ичʼал,
