russian,itelmen,part of speech
а,sinэx,союз
а ну-ка,xajʔэ,межд
Авача,Сuaču-aj собств; Сuaču собств,multiple translations
авачинский житель,Сuaču-aj,собств
автомобиль,ɬalxtэra,сущ
ад,wэʔэnna,сущ
акиба,fitwit сущ; fičsk'э сущ,multiple translations
акибы детеныш,fittaj,сущ
аккуратный,akkuratnoj,прил
активный,aktiwnoj,прил
алык,sasq,сущ
амбар,kaŋɬnom,сущ
апостол,kənklэʔin,инф
аптека,aptэkaʔ,сущ
ара,qэruqэr,сущ
аркан,arkan,сущ
аркан для ловли оленей,čaʔwat,сущ
армия,k'lut'ɬχэwal,сущ
артерия,tjotjəm,сущ
аттол,totk's,сущ
аукаться,lukэl-,неп
бабочка,wэwwэŋ сущ; wэwэčχ сущ; sэpэtokačx сущ с.; sэpэtok сущ с.,multiple translations
бабушка,бaбučχ сущ; бaбuшkačχ сущ; mitχ сущ,multiple translations
Бабушкин мыс,Ӄaratwak,собств
байдара,бajdar,сущ
бак (для воды),бak,сущ
баклан,urəl,сущ
балаган,mэk'ɬxən сущ; mэm сущ,multiple translations
балка,ananəmč,сущ
балка опора для крыши,ananəmč,сущ
баловаться,inɬiluʔɬ- неп; saʎэʔɬ- неп,multiple translations
банка,бankaʔ,сущ
барабанщик,kбaraбanэʔɬʔan,сущ
баран горный,qtэp,сущ
барахло,warnasχq,сущ
бат,tqŋač сущ; txtum сущ,multiple translations
бат привязывать,tχtupэs-,неп
бат ремонтировать,ənxiʔŋiŋ-,п1
бата оконечность,tk'ŋoč,сущ
баюкать,wənkэ iɬ-,п1
бегать,skʎawʎat- неп с.; sxilla- неп; sxillazo- неп,multiple translations
бедный,pэtnoj прил; xksxiʔin прил,multiple translations
бедро,xč'эnmiŋ,сущ
бежать,tэlp-,неп
без,qaʔm,част
бездельник,č'ixilэrэŋ,сущ
бездельничать,iɲč'эt-,неп
бездна,propast,сущ
безобразничать,ɬapxač'э-,неп
безсердичные,qaʔm ŋitakaʔn,с.
белая береза,kilx,сущ
белая ровдуга,č'iraqt'əl,сущ
белеть,atx- неп; atxɬ- неп; iɬwirču- неп,multiple translations
белить,бэʎi- п1; бэʎiʔɬ- неп,multiple translations
белка,бэlkaʔ,сущ
Белоголовое,Мiɬχ,собств
белолицый,ttэxč,сущ
белый,atxlaχ,прил
бельмо на глазу,kakf,сущ
берег,iʔiɬun сущ с.; ʷknizim сущ; эʔlэ сущ,multiple translations
берег обваливается,t'lэ-,неп
"берег плоский, берег высокий",iʔɲɬəm,сущ
береговой запор,toɬwoŋ,сущ
бережливый,kŋitэʔin,прил
береза,ič' сущ; kəlx сущ с.,multiple translations
береза белая,kilx,сущ
березняк,ič'al сущ; kilxal сущ; uxt сущ,multiple translations
билет,бilet,сущ
бисер,kəʎʎaʔɲč,сущ
битва,lot'ɬxэnom,сущ
битком набивать,tnxэn- п1; txnot- п1; tχnu- п1,multiple translations
бить,kowa- п1; nэtɬqэʔɬ- неп; juq' сущ,multiple translations
пищу,k'uxk',сущ
березовый,ič'ʔin,прил
березовый лес,uxt,сущ
березовый нарост,čkəp,сущ
березовый подлесок,ič'əmč,сущ
березовый сок,iʔmэməm,сущ
берёзы,ič'al,сущ
березы заросли,kilxal,сущ
березы луб,iwk',сущ
беременной быть,fɬ-,неп
береста,ənk'sx,сущ
берестяная корзина,ač'al,сущ
четырехугольный,akinsx,сущ
берестяной туес для молока,krэnkэjoɬxən,сущ
гольной формы,sxzэmx,сущ
беречь,ŋiti-,п1
беречься,inju-,неп
берлога,noč,сущ
бес,χэqэ,сущ
беседа,krwэɬxatas,сущ
