слово,диалект,фонетический вариант,северный диалектный вариант,часть речи,грамматические пометы,инфинитив,множественное число,общее число,толкование,ссылка,,,,,,
а,,,,союз,,,,,а,,,,,,,
ава-,,,,глагол,непереходный,авакас,,,разливаться (о реке),аваном,Аваном,ават-,,,,
аваном,,,,существительное,,,аваноʔн,,1) разлив; 2) наводнение,,,,,,,
Аваном,,,,существительное,,,,,потоп,,,,,,,
ават-,,,,глагол,непереходный,аваткас,,,постояннно разливаться,,,,,,,
авазэ-,,авазо-,,глагол,переходный2,авазэкас,,,уговаривать кого-либо,авазэʔԓ-,авазэ-,,,,,
авазэ-,,авазо-,,глагол,непереходный,авазэкас,,,ласкаться,авазэʔԓ-,авазэ-,,,,,
авазэʔԓ-,,,,глагол,непереходный,авазэʔԓкас,,,ласкать; подлащиваться,,,,,,,
аванэ-,,,,глагол,непереходный,аванэкас,,,сильно разливаться,аванэт-,,,,,,
авза-,,,рова-,глагол,непереходный,авзакас,,,рожать,,,,,,,
авзазо-,,,,глагол,непереходный,авзазокас,,,рожать,авзат-,,,,,,
авзат-,,,,глагол,непереходный,авзаткас,,,"рожать, телиться",,,,,,,
авла-,,,,глагол,непереходный,авлакас,,,"выть, лаять",,,,,,,
авна-,,,,глагол,непереходный,авнакас,,,метать икру,,,,,,,
авнос,,,,существительное,,,авноʔн,,нерестилище,,,,,,,
авут,,авәт,,существительное,,,авутаʔн,,скребок для выделки шкур,,,,,,,
авэла-,,,,глагол,переходный1,авэлас,,,махать рукой; давать знак,авэлаʔԓ-,,,,,,
азамс-,,азәмс-,,глагол,непереходный,азамкас,,,пришивать заплаты (на одежду),азамснŏм,,,,,,
азамснŏм,,,,существительное,,,азамсноʔн,,заплата (на одежде),,,,,,,
азкедь,,,,существительное,,,,,время,,,,,,,
азлаӽ,,,,прилагательное,,,,,1) яркий; 2) святой,,,,,,,
азлаӽ ањԓос,,,,существительное,,,,,обет,,,,,,,
азлаʔԓ-,,,,глагол,непереходный,азлаʔԓкас,,,ярко светить,,,,,,,
азоск,,,митыв,наречие,,,,,завтра,,,,,,,
азәмзэ-,,,,глагол,переходный1,азәмзэс,,,ставить заплаты на одежду,,,,,,,
азәмнэ-,,,,глагол,непереходный,азәмнэкас,,,заражаться,азәмнэт-,,,,,,
азәмсном,,,,существительное,,,азәмсноʔн,,заплата на одежде,,,,,,,
азэнԓ,,,,глагол,непереходный,азэнԓкас,,,щуриться (от яркого света),,,,,,,
айванʔан,,,,прилагательное,,,,,северный,,,,,,,
айваӈ,,,,существительное,,,-,,север,,,,,,,
айрмном,,айрном,,существительное,,,,,"Царство, господство, царствование",,,,,,,
айтат-,,,,глагол,переходный1,айтаткэс,,,"гнать, выгонять",айтатэт-,айтатэʔԓ-,,,,,
Айэрэм,,,,существительное,,,,,Господь,,,,,,,
акавта,,,,междометие,,,,,хорошо что,,,,,,,
акавʔач,,,,существительное,,,акавʔаʔн,,речной рачок,,,,,,,
акика,,акиках,,междометие,,,,,горячо,,,,,,,
акинсх,,,,существительное,,,,,четырехугольный берестяной сосуд с травяными плетеными ручками,,,,,,,
аккуратной,,,,прилагательное,,,,,аккуратный,,,,,,,
акнов-,,,,глагол,непереходный,акновкас,,,разбогатеть,,,,,,,
акнос,,,,существительное,,,акнозэʔн,,богатство,,,,,,,
активной,,,,прилагательное,,,,,активный,,,,,,,
акуманом,,,,существительное,,,,,спор,,,,,,,
акэваʔнәм,,,,существительное,,,,,"обшивка, кайма у обуви",,,,,,,
акэвом,,,акэваʔнәм,существительное,,,акэвэʔн,,шов на голенище,,,,,,,
акʼнэ-,,,,глагол,непереходный,акʼнэкэс,,,зацепиться,,,,,,,
аӄтӽарэӄ,,,,существительное,,,аӄтӽарэӄаʔн,,хромой,,,,,,,
аӄтӽэʔԓ-,,,,глагол,непереходный,аӄтӽэʔԓкас,,,хромать на одной ноге,,,,,,,
алалэ-,,,,глагол,непереходный,алалэкас,,,"походить кого-л., быть похожим",,,,,,,
алат-,,,,глагол,переходный1,алатэс,,,гладить кого-либо рукой,,,,,,,
алачикалӈин,,,,существительное,,,алачикаʔн,,праздничная летняя обувь из ровдуги,,,,,,,
алва-,,,,глагол,непереходный,алвакас,,,"пользоваться известностью, слыть, быть известным, иметь репутацию",налвав-,,,,,,
алвалэ-,,,алалэ-,глагол,непереходный,алвалэкас,,,"походить на кого-л., быть похожим",,,,,,,
алвас,,,,существительное,,,-,,слава (репутация),,,,,,,
алвасӽӄ,,,,существительное,,,,,знать,,,,,,,
алволтэ-,,алвалта,,глагол,переходный1,алволтэс,,,"«подманить собак» (местн. русск.), т.е. слегка подкормить перед выездом, обычно с дневоного короткого привала",,,,,,,
алоӄԓчʼәм,,,,существительное,,,алоӄԓчʼэʔн,,"глухой, глухарь",,,,,,,
алпэ-,,,,глагол,переходный1,алпэс,,,запереть,,,,,,,
алулулу,,,,междометие,,,,,шаманский возглас во время китового праздника,,,,,,,
алупткʼа-,,,,глагол,переходный1,алупткʼас,,,шептать,алупткʼаʔԓ-,,,,,,
алупткʼаʔԓ-,,,,глагол,непереходный,алупткʼаʔԓкас,,,шептаться,,,,,,,
ӑлфс-,,,,глагол,непереходный,ӑлфскас,,,"плыть (на чем-либо) вверх, против течения",тӑлфс-,,,,,,
алхп,,,кичʼԓх,существительное,,,алхпаʔн,,обработанный и готовый в пищу стебель кипрея (традиционная пища ительменов),алхпаʔԓ-,,,,,,
алхп-,,,,глагол,непереходный,алхпкас,,,"появляться, показываться",,,,,,,
алхпаʔԓ-,,,,глагол,непереходный,алхпаʔԓкас,,,собирать кипрей в посуду ,,,,,,,
аләскʼваʔԓ-,,алускʼваʔԓ-,,глагол,непереходный,аләскʼваʔԓкас,,,"подслушивать (спрятавшись, тайком)",аләскʼваʔԓат-,,,,,,
аләскʼваʔԓат-,,,,глагол,непереходный,аләскʼваʔԓаткас,,,постоянно подслушивать,,,,,,,
алэʔн,,,,существительное,,,,,повседневные торбаза из ровдуги (для хорошей погоды),,,,,,,
аља,,,,существительное,,,аљаʔн,,старший брат по отношению к сестре,,,,,,,
аљэʔн,,,,существительное,,,same,,вид повседневной летней обуви,,,,,,,
аԓа-,,,,глагол,непереходный,аԓакас,,,"облокачиваться, опираться, прислоняться",аԓат-,,,,,,
аԓт-,,,,глагол,непереходный,аԓткас,,,откликаться на зов,аԓтсхэн-,,,,,,
аԓэс,,,,существительное,,,аԓэзэʔн,,бульон,,,,,,,
аԓэʔлӈич,,,,существительное,,,аԓэʔн,,вид повседневной обуви,,,,,,,
амамкаӄ,,,,наречие,,,,,"чересчур, слишком",,,,,,,
амамкалаӽ,,,,прилагательное,,,,,"чрезмерный, излишний",,,,,,,
амамʔйоӄ,,,,наречие,,,,,вдоволь,,,,,,,
аманәм,,,,существительное,,,,,ступенька лестницы,,,,,,,
амварван,,,,существительное,,,-,,глубина,,,,,,,
˚амӄ,,,,наречие,,,,,глубоко,,,,,,,
˚амлаӽ,,,,прилагательное,,,,,глубокий,,,,,,,
амӈэл,,,,существительное,,,амӈэʔл,,сказка; легенда,,,,,,,
амӈэл-,,,,глагол,непереходный,амӈэлкас,,,рассказывать сказки,,,,,,,
ампаʔном,,,,существительное,,,ампаʔноʔн,,деталь нарты,,,,,,,
ампәл-,,,,глагол,непереходный,ампәлкас,,,кусать(ся),,,,,,,
ампэла-,,,,глагол,переходный1,ампэлас,,,объявлять,ампэланом,ампэлат-,ампэлаʔԓ-,ампэлаʔԓкаԓӽ,,,
ампэланом,,,,существительное,,,,,"весть, известие",,,,,,,
ампэлач,,,,существительное,,,,,"сообщение, объяление",,,,,,,
